Accession,Planting,Country,State,County,Google_Latitude,Google_Longitude,PosNum,LCMSplantingID,Ozark_Chinquapin,ID,sEmerge_19846,lEmerge_19846,Surv_19846,basDia_19846,stNum_19846,stLeng_19846,leafL_19846,leafW_19846,leafN_19846,Notes_19846,sEmerge_19887,lEmerge_19887,Surv_19887,stNum_19887,stLeng_19887,basDia_19887,leafN_19887,leafL_19887,leafW_19887,Notes_19887,sEmerge_19916,lEmerge_19916,sEmergeDate_NA,lEmergeDate_NA,Surv_19916,stNum_19916,stLeng_19916,basDia_19916,leafN_19916,leafL_19916,leafW_19916,Notes_19916,Surv_19950,stNum_19950,stLeng_19950,basDia_19950,leafN_19950,leafL_19950,leafW_19950,Notes_19950,Surv_19983,stNum_19983,stLeng_19983,basDia_19983,leafN_19983,leafL_19983,leafW_19983,Notes_19983,Id,Taxon,Area,Bed,Position/Spot,Inventory Date,Status,Plant Count,Planting Material Type,Source,Provenance,Property,Ipen,Restriction,Date received,Quantity received,Collector,Collection Num,Collection Date,Sampling method,EO ID,EO number,Property ownership,Notes on Habitat and soil,Mother Plant/Maternal Pop,Family,Seed/Lot #,Index Seminum Year,Mapped,Label Graphic
2024-0225,19,United States,Arkansas,Searcy,35.24302748,-91.73355094,582,2024-0225-19,TRUE,1 - 19,Y,Y,Y,2.6,1,17.3,7.8,4.6,9,NA,Y,Y,Y,1,17.9,3.02,13,8.1,3.7,NA,Y,Y,3/25/24,4/15/24,Y,1,17,2.98,12,9,4,NA,Y,1,17.5,3.88,12,8.4,4.6,NA,Y,1,18,3.53,9,7.7,3.4,NA,1298745,Castanea ozarkensis,Main Greenhouse,18,NA,2024-02-21T00:00:00Z,Dormant,1,Seed,Ozark Chinquapin Foundation,Wild,Oertli Nursery,US-0-MO-2024-0225,NA,NA,23,Chris Wyatt,NA,Sep 2023,Maternal Lines,NA,NA,NA,NA,NA,Fagaceae,NA,NA,FALSE,NA
2024-0225,20,United States,Arkansas,Searcy,35.24302748,-91.73355094,586,2024-0225-20,TRUE,1 - 20,Y,Y,Y,2.77,1,5.3,NA,NA,0,All leaves are dead but is budding.,Y,Y,Y,1,6.3,2.51,4,7.3,3.8,NA,Y,Y,4/1/24,4/22/24,Y,1,11,3.12,5,9,4,NA,Y,1,10.7,3.93,7,8.9,4,NA,Y,1,13.3,4.54,14,8.8,4,NA,1298746,Castanea ozarkensis,Main Greenhouse,18,NA,2024-02-21T00:00:00Z,Dormant,1,Seed,Ozark Chinquapin Foundation,Wild,Oertli Nursery,US-0-MO-2024-0225,NA,NA,23,Chris Wyatt,NA,Sep 2023,Maternal Lines,NA,NA,NA,NA,NA,Fagaceae,NA,NA,FALSE,NA
2024-0225,21,United States,Arkansas,Searcy,35.24302748,-91.73355094,555,2024-0225-21,TRUE,1 - 21,Y,Y,Y,2.19,1,12.9,4.8,2.8,4,Curled leaf measured,Y,Y,Y,1,14.2,2.69,8,6.1,3.6,NA,Y,Y,4/8/24,4/22/24,Y,1,14.1,3.15,7,5.7,2.5,NA,Y,3,14.5,4.39,24,6.2,3.6,NA,Y,3,14.9,3.39,24,8.1,4.1,Measured tallest stem,1298747,Castanea ozarkensis,Main Greenhouse,18,NA,2024-02-21T00:00:00Z,Dormant,1,Seed,Ozark Chinquapin Foundation,Wild,Oertli Nursery,US-0-MO-2024-0225,NA,NA,23,Chris Wyatt,NA,Sep 2023,Maternal Lines,NA,NA,NA,NA,NA,Fagaceae,NA,NA,FALSE,NA
2024-0226,1,United States,Mississippi,Attala,33.11028128,-89.57617063,13,2024-0226-1,TRUE,2 - 1,N,Y,Y,0.87,1,7.3,5.5,2.8,6,NA,N,Y,Y,1,9.2,2.03,9,6.7,3,NA,N,Y,-,4/1/24,Y,1,9.5,1.23,8,7,2.5,NA,Y,1,12,2.57,13,7.1,2.8,NA,Y,1,17.8,3.68,17,12.6,4.9,NA,1298614,Castanea ozarkensis,Main Greenhouse,18,NA,2024-02-22T00:00:00Z,Alive,1,Seed,Ozark Chinquapin Foundation,Wild,Oertli Nursery,US-0-MO-2024-0226,NA,NA,19,Jackie Sprayberry,NA,Sep 2023,Maternal Lines,NA,NA,NA,NA,NA,Fagaceae,NA,NA,FALSE,NA
2024-0226,2,United States,Mississippi,Attala,33.11028128,-89.57617063,597,2024-0226-2,TRUE,2 - 2,N,Y,Y,1.61,1,7.1,6.2,3.2,7,NA,N,Y,Y,1,8.4,2.17,8,6.9,3.3,NA,N,Y,-,3/5/24,Y,1,9.5,1.84,NA,7,3,NA,Y,1,11.1,2.69,15,7,3,NA,Y,1,15.4,3.26,18,10.7,4.3,NA,1298750,Castanea ozarkensis,Main Greenhouse,18,NA,2024-02-21T00:00:00Z,Alive,1,Seed,Ozark Chinquapin Foundation,Wild,Oertli Nursery,US-0-MO-2024-0226,NA,NA,19,Jackie Sprayberry,NA,Sep 2023,Maternal Lines,NA,NA,NA,NA,NA,Fagaceae,NA,NA,FALSE,NA
2024-0226,3,United States,Mississippi,Attala,33.11028128,-89.57617063,86,2024-0226-3,TRUE,2 - 3,N,Y,Y,1.14,1,5.4,5.1,2.2,5,NA,N,Y,Y,1,8,2.08,7,6,2.8,NA,N,Y,-,3/18/24,Y,2,8.5,1.98,9,6,3,NA,Y,1,9.8,1.97,14,6.8,2.5,NA,Y,1,14.2,3.58,18,12.8,4.9,NA,1298751,Castanea ozarkensis,Main Greenhouse,18,NA,2024-02-21T00:00:00Z,Alive,1,Seed,Ozark Chinquapin Foundation,Wild,Oertli Nursery,US-0-MO-2024-0226,NA,NA,19,Jackie Sprayberry,NA,Sep 2023,Maternal Lines,NA,NA,NA,NA,NA,Fagaceae,NA,NA,FALSE,NA
2024-0226,5,United States,Mississippi,Attala,33.11028128,-89.57617063,195,2024-0226-5,TRUE,2 - 5,N,Y,Y,0.97,1,5.3,4.7,2.6,4,NA,N,Y,Y,1,7.3,1.54,6,6.2,2.8,NA,N,Y,-,4/8/24,Y,1,6.9,2.01,6,6.2,3.1,NA,Y,1,16,2.06,13,11.4,4.8,NA,Y,1,23.5,4.96,18,13.1,5.7,NA,1298753,Castanea ozarkensis,Main Greenhouse,18,NA,2024-02-21T00:00:00Z,Alive,1,Seed,Ozark Chinquapin Foundation,Wild,Oertli Nursery,US-0-MO-2024-0226,NA,NA,19,Jackie Sprayberry,NA,Sep 2023,Maternal Lines,NA,NA,NA,NA,NA,Fagaceae,NA,NA,FALSE,NA
2024-0226,7,United States,Mississippi,Attala,33.11028128,-89.57617063,503,2024-0226-7,TRUE,2 - 7,N,N,Y,0.9,1,1.1,NA,NA,0,"Dead stem, resprouting.",N,N,Y,1,3.5,0.71,4,3,1.5,NA,N,Y,-,5/6/24,Y,1,5.3,0.95,7,4.5,2.3,NA,Y,1,10.6,1.7,15,7.7,3.5,NA,Y,1,12.5,2.91,19,10.2,4.6,NA,1298755,Castanea ozarkensis,Main Greenhouse,18,NA,2024-02-21T00:00:00Z,Alive,1,Seed,Ozark Chinquapin Foundation,Wild,Oertli Nursery,US-0-MO-2024-0226,NA,NA,19,Jackie Sprayberry,NA,Sep 2023,Maternal Lines,NA,NA,NA,NA,NA,Fagaceae,NA,NA,FALSE,NA
2024-0226,8,United States,Mississippi,Attala,33.11028128,-89.57617063,258,2024-0226-8,TRUE,2 - 8,N,N,N,NA,NA,NA,NA,NA,NA,No green stem.,N,N,Y,2,2,0.53,5,1.9,1.1,NA,N,N,-,NA,Y,2,3.9,0.74,12,5,2.1,NA,Y,2,5.5,1.49,21,5.1,2.3,NA,Y,1,10,1.82,25,10.4,5,NA,1298756,Castanea ozarkensis,Main Greenhouse,18,NA,2024-02-21T00:00:00Z,Alive,1,Seed,Ozark Chinquapin Foundation,Wild,Oertli Nursery,US-0-MO-2024-0226,NA,NA,19,Jackie Sprayberry,NA,Sep 2023,Maternal Lines,NA,NA,NA,NA,NA,Fagaceae,NA,NA,FALSE,NA
2024-0226,10,United States,Mississippi,Attala,33.11028128,-89.57617063,179,2024-0226-10,TRUE,2 - 10,N,Y,Y,0.86,1,3.2,3.9,1.5,5,NA,N,Y,Y,1,6.4,1.44,7,6.7,2.7,NA,N,Y,-,4/15/24,Y,1,6.7,1.68,8,6.7,2.9,NA,Y,1,10.9,3.27,20,8.2,3,NA,Y,1,14.6,4.65,33,10.7,4.6,NA,1298758,Castanea ozarkensis,Main Greenhouse,18,NA,2024-02-21T00:00:00Z,Alive,1,Seed,Ozark Chinquapin Foundation,Wild,Oertli Nursery,US-0-MO-2024-0226,NA,NA,19,Jackie Sprayberry,NA,Sep 2023,Maternal Lines,NA,NA,NA,NA,NA,Fagaceae,NA,NA,FALSE,NA
